Site_ID,eNodeB_CI,quadkey20,Site_Sector,Site_Sector3_Type,geometry
BTM062,465062_125,465062_125,BTM062_2,BTM062_2_M,"POLYGON ((104.00777 1.14978, 104.009389 1.150914, 104.009655 1.150374, 104.009746 1.14978, 104.009655 1.149186, 104.009389 1.148646, 104.00777 1.14978))"
BTM026,465026_115,465026_115,BTM026_1,BTM026_1_M,"POLYGON ((104.00926 1.13987, 104.008425 1.141661, 104.009002 1.141829, 104.009603 1.141816, 104.010173 1.141623, 104.010657 1.141267, 104.00926 1.13987))"
BTM062,465062_124,465062_124,BTM062_2,BTM062_2_M,"POLYGON ((104.00777 1.14978, 104.00904 1.15105, 104.00943 1.150468, 104.009567 1.14978, 104.00943 1.149092, 104.00904 1.14851, 104.00777 1.14978))"
BTM026,465026_114,465026_114,BTM026_1,BTM026_1_M,"POLYGON ((104.00926 1.13987, 104.008229 1.141342, 104.008871 1.141624, 104.009572 1.141639, 104.010225 1.141385, 104.010732 1.140901, 104.00926 1.13987))"
PAY011,71011_92,71011_92,PAY011_9,PAY011_9_M,"POLYGON ((100.64616 -0.21053, 100.644993 -0.209856, 100.645056 -0.209757, 100.645128 -0.209664, 100.645207 -0.209577, 100.645294 -0.209498, 100.64616 -0.21053))"
BLS164,471164_72,471164_72,BLS164_7,BLS164_7_M,"POLYGON ((101.27098 1.2392, 101.272246 1.239661, 101.272282 1.239549, 101.272307 1.239434, 101.272322 1.239317, 101.272327 1.2392, 101.27098 1.2392))"
UJT541,53541_72,53541_72,UJT541_7,UJT541_7_M,"POLYGON ((100.81267 1.48337, 100.813536 1.482338, 100.813443 1.482266, 100.813344 1.482203, 100.813239 1.482149, 100.813131 1.482104, 100.81267 1.48337))"
BLS605,45605_72,45605_72,BLS605_7,BLS605_7_M,"POLYGON ((101.35826 0.80837, 101.357586 0.807203, 101.357487 0.807266, 101.357394 0.807338, 101.357307 0.807417, 101.357228 0.807504, 101.35826 0.80837))"
BLS589,45589_92,45589_92,BLS589_9,BLS589_9_M,"POLYGON ((101.33547 1.37398, 101.334438 1.374846, 101.334517 1.374933, 101.334604 1.375012, 101.334697 1.375084, 101.334796 1.375147, 101.33547 1.37398))"
BLS048,471048_72,471048_72,BLS048_7,BLS048_7_M,"POLYGON ((102.2335 1.4395, 102.234532 1.440366, 102.234604 1.440273, 102.234667 1.440174, 102.234721 1.440069, 102.234766 1.439961, 102.2335 1.4395))"
